TLC,Station Name,12-13 Footfall
ALR,Alresford,57342
ALN,Althorne,38346
AGR,Angel Road,63040
ATL,Attleborough,157792
AUD,Audley End,810540
BLB,Battlesbridge,13278
BCC,Beccles,85040
BYA,Berney Arms,1054
BET,Bethnal Green,708792
BIC,Billericay,2942476
BIS,Bishops Stortford,2820376
BTR,Braintree,814944
BTP,Braintree Freeport,59530
BRP,Brampton (Suffolk),6628
BND,Brandon,101396
BRE,Brentwood,2701998
BMD,Brimsdown,598966
BXB,Broxbourne,1605960
BCV,Bruce Grove,473466
BDA,Brundall,94554
BGA,Brundall Gardens,12144
BUC,Buckenham,72
BUE,Bures,57632
BUU,Burnham-On-Crouch,256628
BSE,Bury St.Edmunds,566110
BHK,Bush Hill Park,713604
CBG,Cambridge,9168938
CBH,Cambridge Heath,296692
CNY,Cantley,18008
CTH,Chadwell Heath,2346218
CWC,Chappel & Wakes Colne,41642
CHM,Chelmsford,8002126
CHN,Cheshunt,1915362
CHI,Chingford,1492560
CLT,Clacton,743038
CPT,Clapton,1381710
COL,Colchester,4291055
CET,Colchester Town,743017
CES,Cressing,29838
CMR,Cromer,194444
DSM,Darsham,47676
DBR,Derby Road,45720
DIS,Diss,646158
DVC,Dovercourt,145740
DUL,Dullingham,31596
ECS,Eccles Road,1930
EDR,Edmonton Green,2376776
ESW,Elmswell,79482
ESM,Elsenham,172546
ELY,Ely,1878426
EMP,Emerson Park,113904
ENL,Enfield Lock,1043854
ENF,Enfield Town,1604816
FAM,Fambridge,80330
FLX,Felixstowe,210762
FOG,Forest Gate,2403326
FRI,Frinton,175226
GDP,Gidea Park,2587142
GMY,Goodmayes,2389588
GRB,Great Bentley,66450
GRC,Great Chesterford,110484
GYM,Great Yarmouth,461574
GNT,Gunton,18400
HAC,Hackney Downs,1809330
HAD,Haddiscoe,9662
HAS,Halesworth,84350
HRD,Harling Road,3592
HWM,Harlow Mill,187200
HWN,Harlow Town,1689924
HRO,Harold Wood,2857572
HPQ,Harwich International,89844
HWC,Harwich Town,156344
HAP,Hatfield Peverel,399602
HFE,Hertford East,774547
HIP,Highams Park,1664538
HOC,Hockley,556714
HXM,Hoveton & Wroxham,119696
HYH,Hythe,112316
IFD,Ilford,6854314
INT,Ingatestone,715974
IPS,Ipswich,3348394
KEL,Kelvedon,812610
KNE,Kennett,27530
KBX,Kirby Cross,43816
LAK,Lakenheath,440
LGD,Lingwood,46640
LOF,London Fields,496262
LWT,Lowestoft,459166
MNE,Manea,2898
MNG,Manningtree,1093178
MNP,Manor Park,1659972
MCH,March,350246
MKT,Marks Tey,473162
MYL,Maryland,699584
MES,Melton,63196
MIS,Mistley,59548
NMT,Needham Market,85078
NMK,Newmarket,268696
NWE,Newport (Essex),208416
NWA,North Walsham,242386
NUM,Northumberland Park,415526
NRW,Norwich,4126012
OUN,Oulton Broad North,126064
OUS,Oulton Broad South,28030
PON,Ponders End,344498
PRL,Prittlewell,160930
RLG,Rayleigh,978788
REC,Rectory Road,786048
REE,Reedham (Norfolk),46112
RFD,Rochford,424448
RMF,Romford,7445556
RNR,Roughton Road,13052
RYN,Roydon,127166
RYH,Rye House,384006
SAH,Salhouse,8412
SAW,Sawbridgeworth,490442
SAX,Saxmundham,132418
SVK,Seven Kings,2112832
SVS,Seven Sisters,3426108
SED,Shelford,154060
SNF,Shenfield,3131298
SHM,Sheringham,190844
SPP,Shippea Hill,50
SLV,Silver Street,715988
SYT,Somerleyton,11902
SBU,Southbury,416596
SOV,Southend Victoria,3640338
SMN,Southminster,133818
SPN,Spooner Row,264
SJS,St.James' Street,801458
SMT,St.Margaret's (Hertfordshire),351624
SMH,Stamford Hill,374466
SSD,Stansted Airport,3692934
SST,Stansted Mountfitchet,485210
SKW,Stoke Newington,858572
SMK,Stowmarket,927856
SRA,Stratford,25564250
SUY,Sudbury,326340
TEO,Theobalds Grove,234874
TTF,Thetford,287024
TLS,Thorpe-le-Soken,121300
TRS,Thurston,64082
TOM,Tottenham Hale,4543876
TRM,Trimley,40164
TUR,Turkey Street,471816
WLC,Waltham Cross,703802
WHC,Walthamstow Central,2778362
WON,Walton-On-Naze,117288
WAR,Ware,970726
WEE,Weeley,23244
WRN,West Runton,25124
WFI,Westerfield,13282
WHL,White Hart Lane,778020
WNY,White Notley,11718
WLE,Whittlesea,23494
WLF,Whittlesford,396622
WIC,Wickford,2163430
WCM,Wickham Market,38900
WTM,Witham,2244774
WIV,Wivenhoe,351316
WST,Wood Street,786050
WDB,Woodbridge,186486
WDF,Woodham Ferrers,554440
WRT,Worstead,21140
WRB,Wrabness,24484
WMD,Wymondham,168486
